	KyliePenticost	weathernetwork	taitrealty	Kingelin1	
airbag	0.0	0.0	0.02121475270292528	0.0	
airbnb	0.0	0.0019145745331569093	0.017678960585771068	0.0	
aircanada	0.0032219693523215325	0.0	0.0	0.0	
aircraft	0.0	0.0	0.0	0.024723083363979048	
aired	0.0032219693523215325	0.0	0.0	0.0	
airline	0.0	0.0	0.02121475270292528	0.0	
airlines	0.0	0.0019145745331569093	0.014143168468616855	0.0	
airport	0.0016109846761607663	0.0057437235994707275	0.0	0.0	
airports	0.0	0.0038291490663138186	0.0	0.0	
airs	0.0	0.0038291490663138186	0.0	0.0	
airtransat	0.0	0.0	0.007071584234308427	0.0	
aje	0.0	0.0	0.0	0.024723083363979048	
ajenews	0.0	0.0	0.0	0.024723083363979048	
aju	0.0	0.0038291490663138186	0.0	0.0	
aka	0.006443938704643065	0.0	0.0	0.0	
akaashmaharaj	0.0	0.0038291490663138186	0.0	0.0	
akgoqz	0.0	0.0038291490663138186	0.0	0.0	
akons	0.0032219693523215325	0.0	0.0	0.0	
akxhnmc	0.0	0.0038291490663138186	0.0	0.0	
al	0.0	0.0	0.014143168468616855	0.0	
alabama	0.0	0.0038291490663138186	0.0	0.0	
alagna	0.0	0.0	0.007071584234308427	0.0	
alarm	0.0032219693523215325	0.0019145745331569093	0.0	0.0	
alarmed	0.0016109846761607663	0.0	0.0	0.012361541681989524	
alaska	0.0	0.011487447198941455	0.0	0.0	
albert	0.0	0.0	0.007071584234308427	0.0	
alberta	0.0	0.03254776706366746	0.04242950540585056	0.0	
albertans	0.0	0.0019145745331569093	0.0035357921171542137	0.0	
albertapictwittercomgzcikmfztn	0.0	0.0038291490663138186	0.0	0.0	
albertas	0.0	0.0038291490663138186	0.007071584234308427	0.0	
albino	0.0	0.011487447198941455	0.0	0.0	
album	0.0016109846761607663	0.0	0.007071584234308427	0.0	
alert	6.686190513703023E-4	0.003178480905697613	0.0014674863182735332	0.0	
alerts	0.0	0.042120639729452	0.0	0.0	
alertspictwittercompq	0.0	0.0038291490663138186	0.0	0.0	
alex	0.0	0.011487447198941455	0.0	0.0	
alexander	0.0	0.0	0.007071584234308427	0.0	
alexbo	0.0032219693523215325	0.0	0.0	0.0	
alexis	0.0	0.0	0.007071584234308427	0.0	
alexmedina	0.0032219693523215325	0.0	0.0	0.0	
algoma	0.0	0.0	0.007071584234308427	0.0	
algonquin	0.0	0.0	0.014143168468616855	0.0	
ali	0.0	0.0	0.014143168468616855	0.0	
alice	0.0032219693523215325	0.0	0.0	0.0	
alien	0.0	0.0038291490663138186	0.0	0.0	
aliens	0.0	0.0038291490663138186	0.0	0.0	
align	0.0	0.0038291490663138186	0.0	0.0	
alignment	0.0032219693523215325	0.0	0.0	0.0	
alike	0.0032219693523215325	0.0	0.0	0.0	
alive	0.0032219693523215325	0.0019145745331569093	0.0	0.0	
alizalicht	0.019331816113929194	0.0	0.0	0.0	
alizalichts	0.0032219693523215325	0.0	0.0	0.0	
allcanadian	0.0	0.0	0.007071584234308427	0.0	
allegations	0.0	0.0	0.007071584234308427	0.0	
allegedly	0.0	0.0	0.02121475270292528	0.0	
allergies	0.0032219693523215325	0.0	0.0	0.0	
alley	0.0	0.0	0.007071584234308427	0.0	
allfortheloveofcoffee	0.0032219693523215325	0.0	0.0	0.0	
allgallagher	0.0032219693523215325	0.0	0.0	0.0	
allim	0.0	0.0	0.007071584234308427	0.0	
allin	0.0	0.0	0.007071584234308427	0.0	
allman	0.0032219693523215325	0.0	0.0	0.0	
allmetal	0.0	0.0	0.007071584234308427	0.0	
allnighter	0.006443938704643065	0.0	0.0	0.0	
allow	0.0	0.0015892404528488064	0.0014674863182735332	0.005130503346924123	
allowed	0.009665908056964597	0.0	0.0	0.0	
allowing	0.016109846761607663	0.0	0.0	0.0	
allows	0.0016109846761607663	0.0	0.007071584234308427	0.0	
allstarweekend	0.0	0.0038291490663138186	0.0	0.0	
alltime	0.0	0.0019145745331569093	0.0	0.012361541681989524	
allyoucaneat	0.0	0.0038291490663138186	0.0	0.0	
almanac	0.0	0.0	0.007071584234308427	0.0	
almclauchlan	0.0	0.0038291490663138186	0.0	0.0	
alpaca	0.0	0.0038291490663138186	0.0	0.0	
alpha	0.0032219693523215325	0.0	0.0	0.0	
alphabravostdio	0.0032219693523215325	0.0	0.0	0.0	
alpine	0.0	0.0	0.007071584234308427	0.0	
alps	0.0	0.0057437235994707275	0.0035357921171542137	0.0	
alrightim	0.0032219693523215325	0.0	0.0	0.0	
alsassociation	0.0032219693523215325	0.0	0.0	0.0	
alternative	0.0	0.0	0.007071584234308427	0.0	
alternatives	0.0	0.0	0.014143168468616855	0.0	
alto	0.0	0.0	0.007071584234308427	0.0	
altogether	0.0032219693523215325	0.0	0.0	0.0	
alum	0.006443938704643065	0.0	0.0	0.0	
alumni	0.02577575481857226	0.0	0.0	0.0	
amal	0.0	0.0	0.007071584234308427	0.0	
amanda	0.0	0.0038291490663138186	0.0	0.0	
amateu	0.0	0.0	0.007071584234308427	0.0	
amateur	0.01288787740928613	0.0	0.0035357921171542137	0.0	
amateurs	0.0	0.0	0.007071584234308427	0.0	
amazing	0.0	0.0	0.0	0.0	
amazingly	0.0032219693523215325	0.0	0.0	0.0	
amazon	0.0	0.0	0.04950108964015899	0.0	
amazons	0.0	0.0	0.007071584234308427	0.0	
ambassador	0.0048329540284822985	0.0019145745331569093	0.0	0.0	
amberalert	0.009665908056964597	0.0	0.0	0.0	
ambitious	0.0032219693523215325	0.0	0.0	0.0	
amen	0.0032219693523215325	0.0	0.0	0.012361541681989524	
amenities	0.0	0.0	0.04242950540585056	0.0	
america	0.0048329540284822985	0.0	0.014143168468616855	0.0	
american	0.0048329540284822985	0.0	0.0035357921171542137	0.0	
americanairlines	0.0	0.0038291490663138186	0.0	0.0	
americans	0.0032219693523215325	0.0	0.0	0.0	
americas	0.006443938704643065	0.0	0.0	0.0	
amhd	0.0	0.0038291490663138186	0.0	0.0	
amid	0.0	0.02680404346419673	0.0035357921171542137	0.0	
amie	0.0032219693523215325	0.0	0.0	0.0	
amish	0.0032219693523215325	0.0	0.0	0.0	
amjd	0.0	0.0038291490663138186	0.0	0.0	
amomentcanchangeeverything	0.0032219693523215325	0.0	0.0	0.0	
amount	0.0032219693523215325	0.0	0.0	0.012361541681989524	
amounts	0.0032219693523215325	0.0	0.0	0.0	
ample	0.0	0.0038291490663138186	0.0	0.0	
amsucks	0.0032219693523215325	0.0	0.0	0.0	
amusement	0.0032219693523215325	0.0	0.0	0.0	
amx	0.0	0.0038291490663138186	0.0	0.0	
amy	0.0	0.0	0.014143168468616855	0.0	
ana	0.0	0.0038291490663138186	0.0	0.0	
anal	0.0	0.0	0.007071584234308427	0.0	
analysis	0.0	0.0038291490663138186	0.0	0.0	
analyst	0.0	0.0019145745331569093	0.0035357921171542137	0.0	
analytics	0.0	0.0	0.02121475270292528	0.0	
ancaster	0.0016109846761607663	0.0	0.0035357921171542137	0.0	
anchorage	0.0	0.0038291490663138186	0.0	0.0	
anchorman	0.0032219693523215325	0.0	0.0	0.0	
anchors	0.0	0.0	0.007071584234308427	0.0	
andihellan	0.0	0.0038291490663138186	0.0	0.0	
andor	0.0016109846761607663	0.0019145745331569093	0.0	0.0	
andr	0.0	0.0	0.007071584234308427	0.0	
andrej	0.0	0.0	0.014143168468616855	0.0	
andrew	0.0032219693523215325	0.0038291490663138186	0.0	0.0	
andrewpagetv	0.0	0.011487447198941455	0.0	0.0	
andrews	0.0	0.0	0.007071584234308427	0.0	
android	0.0016109846761607663	0.0	0.0777874265773927	0.0	
andy	0.0	0.0	0.007071584234308427	0.0	
andyblizzard	0.0	0.0038291490663138186	0.0	0.0	
angel	0.0013372381027406046	7.946202264244032E-4	0.0	0.005130503346924123	
angels	0.0	0.0038291490663138186	0.0	0.0	
anger	0.0	0.0	0.0	0.024723083363979048	
angering	0.0	0.0	0.007071584234308427	0.0	
angle	0.0	0.0	0.007071584234308427	0.0	
angry	0.0032219693523215325	0.0019145745331569093	0.0	0.0	
angus	0.0	0.0	0.007071584234308427	0.0	
animal	0.0016109846761607663	0.0038291490663138186	0.0	0.0	
animalm	0.0	0.0038291490663138186	0.0	0.0	
animals	6.686190513703023E-4	0.003178480905697613	0.0	0.005130503346924123	
animates	0.0	0.0	0.007071584234308427	0.0	
animosity	0.0	0.0	0.0	0.024723083363979048	
ankles	0.0032219693523215325	0.0	0.0	0.0	
anna	0.0	0.0	0.007071584234308427	0.0	
annakinslayd	0.0032219693523215325	0.0	0.0	0.0	
annefrances	0.0032219693523215325	0.0	0.0	0.0	
annemarnoldpictwittercomq	0.0	0.0038291490663138186	0.0	0.0	
anniversary	0.0013372381027406046	7.946202264244032E-4	0.0014674863182735332	0.0	
annou	0.0	0.0	0.007071584234308427	0.0	
announced	0.0013372381027406046	7.946202264244032E-4	0.02347978109237653	0.0	
announcement	6.686190513703023E-4	7.946202264244032E-4	0.0014674863182735332	0.0	
announcer	0.0	0.0038291490663138186	0.0	0.0	
announces	0.0	0.0	0.07071584234308427	0.0	
annoyance	0.0032219693523215325	0.0	0.0	0.0	
annoying	0.0	0.0	0.007071584234308427	0.0	
annoyingly	0.0	0.0	0.007071584234308427	0.0	
annual	0.0033430952568515118	7.946202264244032E-4	0.005869945273094133	0.0	
annually	0.0	0.0038291490663138186	0.0	0.0	
anonymizer	0.0	0.0	0.007071584234308427	0.0	
anonymous	0.0	0.0	0.007071584234308427	0.0	
ansley	0.0	0.0	0.007071584234308427	0.0	
answer	0.008054923380803831	0.007658298132627637	0.0	0.0	
answering	0.0	0.007658298132627637	0.0	0.0	
answers	6.686190513703023E-4	7.946202264244032E-4	0.0029349726365470665	0.0	
antarctic	0.0	0.0019145745331569093	0.0035357921171542137	0.0	
antarctica	0.0	0.015316596265255274	0.0	0.0	
anthem	0.008054923380803831	0.0	0.0035357921171542137	0.0	
anthony	0.0	0.0	0.007071584234308427	0.0	
antiausterity	0.0	0.0	0.007071584234308427	0.0	
anticipat	0.0	0.0	0.007071584234308427	0.0	
anticipated	6.686190513703023E-4	0.0	0.0044024589548206	0.005130503346924123	
anticipating	0.0032219693523215325	0.0	0.0	0.0	
anticipation	0.0	0.007658298132627637	0.0	0.0	
antifreeze	0.0	0.0	0.0	0.024723083363979048	
antiintellectualism	0.0	0.0	0.0	0.024723083363979048	
antimonopoly	0.0	0.0	0.007071584234308427	0.0	
antioxidants	0.0032219693523215325	0.0	0.0	0.0	
antiracism	0.0	0.0	0.0	0.024723083363979048	
antirad	0.0	0.0	0.0	0.024723083363979048	
antiterror	0.0	0.0	0.007071584234308427	0.0	
antitrust	0.0	0.0	0.014143168468616855	0.0	
ants	0.0	0.0038291490663138186	0.0	0.0	
anxiety	0.0032219693523215325	0.0	0.0	0.0	
anyones	0.0032219693523215325	0.0	0.0	0.0	
anyonewantcompany	0.0032219693523215325	0.0	0.0	0.0	
anytakers	0.0032219693523215325	0.0	0.0	0.0	
anytime	0.0032219693523215325	0.0	0.0035357921171542137	0.0	
anzac	0.0	0.0	0.0	0.024723083363979048	
aok	0.0	0.0038291490663138186	0.0	0.0	
aol	0.0	0.0038291490663138186	0.0	0.0	
aos	0.0	0.0038291490663138186	0.0	0.0	
ap	0.0	0.007658298132627637	0.0	0.0	
apart	0.022553785466250725	0.0	0.0	0.0	
apartment	0.0032219693523215325	0.0	0.024750544820079497	0.0	
apartments	0.0	0.0019145745331569093	0.01060737635146264	0.0	
apartnothappy	0.0032219693523215325	0.0	0.0	0.0	
aperfectendtomyfirstnhlgame	0.0032219693523215325	0.0	0.0	0.0	
aperture	0.0	0.0	0.014143168468616855	0.0	
api	0.0	0.0	0.007071584234308427	0.0	
apolo	0.0	0.0	0.007071584234308427	0.0	
apologies	0.0	0.011487447198941455	0.0	0.0	
apologize	0.0	0.017231170798412184	0.0035357921171542137	0.0	
apologizes	0.0	0.0	0.007071584234308427	0.0	
apology	0.0	0.0	0.007071584234308427	0.0	
app	0.0	0.0	0.0	0.0	
appalling	0.0	0.0	0.0	0.024723083363979048	
apparel	0.0	0.0	0.007071584234308427	0.0	
apparent	0.0032219693523215325	0.0019145745331569093	0.0	0.0	
appeal	0.0016109846761607663	0.0	0.0035357921171542137	0.0	
appeals	0.0	0.0	0.007071584234308427	0.0	
appear	0.0	0.0	0.007071584234308427	0.0	
appearance	0.0	0.0038291490663138186	0.0035357921171542137	0.0	
appeared	0.0	0.0019145745331569093	0.03182212905438792	0.0	
appears	0.0	0.0	0.007071584234308427	0.0	
applaud	0.0032219693523215325	0.0	0.0	0.0	
apple	0.0032219693523215325	0.0	0.1308243083347059	0.0	
applicant	0.0032219693523215325	0.0	0.0	0.0	
applicatio	0.0	0.0	0.007071584234308427	0.0	
applied	0.0032219693523215325	0.0	0.0	0.0	
applies	0.0032219693523215325	0.0	0.0	0.0	
apply	0.0032219693523215325	0.0	0.0	0.0	
appointed	0.0	0.0038291490663138186	0.0	0.0	
appointment	0.0032219693523215325	0.0	0.0	0.0	
appointments	0.0032219693523215325	0.0	0.0	0.0	
appreciate	0.006017571462332721	0.0015892404528488064	0.0	0.005130503346924123	
appreciated	0.04832954028482298	0.0	0.0	0.0	
approach	0.0	0.0	0.0	0.024723083363979048	
approaches	0.0	0.0038291490663138186	0.0035357921171542137	0.0	
approaching	0.0	0.0	0.007071584234308427	0.0	
appropriate	0.0032219693523215325	0.0	0.0	0.0	
approval	0.0	0.0	0.02121475270292528	0.0	
approvals	0.0	0.0	0.014143168468616855	0.0	
approve	0.0	0.0	0.007071584234308427	0.0	
approved	0.0	0.0	0.035357921171542135	0.0	
approves	0.0	0.0	0.007071584234308427	0.0	
approving	0.0	0.0	0.007071584234308427	0.0	
approx	0.0	0.0	0.0	0.049446166727958096	
approxi	0.0	0.0	0.007071584234308427	0.0	
apps	0.0032219693523215325	0.0	0.06364425810877584	0.0	
appsfire	0.0	0.0	0.014143168468616855	0.0	
april	0.0	0.0	0.0	0.0	
aprilanne	0.0	0.007658298132627637	0.0	0.0	
aprilshowers	0.0	0.0	0.007071584234308427	0.0	
apron	0.0032219693523215325	0.0	0.0	0.0	
aquarium	0.0	0.0	0.007071584234308427	0.0	
aqwydkqi	0.0	0.0038291490663138186	0.0	0.0	
aqz	0.0	0.0038291490663138186	0.0	0.0	
ar	0.0	0.0	0.007071584234308427	0.0	
arbitration	0.0	0.0	0.007071584234308427	0.0	
arc	0.0	0.0038291490663138186	0.0	0.0	
arches	0.0	0.0	0.007071584234308427	0.0	
architects	0.0	0.0	0.007071584234308427	0.0	
architectural	0.0	0.0	0.007071584234308427	0.0	
architecture	0.0	0.0	0.04242950540585056	0.0	
arcs	0.0	0.0038291490663138186	0.0	0.0	
arcteryx	0.0	0.0	0.007071584234308427	0.0	
arctic	0.0	0.015316596265255274	0.0035357921171542137	0.0	
area	0.004011714308221813	0.004767721358546419	0.0014674863182735332	0.0	
areas	0.0	0.0	0.0	0.0	
arena	0.0048329540284822985	0.0	0.0035357921171542137	0.0	
arevas	0.0	0.0	0.007071584234308427	0.0	
argos	0.006443938704643065	0.0	0.0	0.0	
argues	0.0	0.0	0.007071584234308427	0.0	
ariel	0.0032219693523215325	0.0	0.0	0.0	
ark	0.0032219693523215325	0.0	0.0	0.0	
arles	0.0	0.0	0.007071584234308427	0.0	
arm	0.0032219693523215325	0.0	0.0	0.0	
arnold	0.0	0.0	0.007071584234308427	0.0	
arnoux	0.0	0.0	0.007071584234308427	0.0	
arranged	0.0016109846761607663	0.0	0.0	0.012361541681989524	
arrgg	0.0032219693523215325	0.0	0.0	0.0	
arrival	0.0016109846761607663	0.0	0.0035357921171542137	0.0	
arrive	0.0	0.0038291490663138186	0.0035357921171542137	0.0	
arrived	0.006443938704643065	0.0057437235994707275	0.0	0.0	
arrives	0.0	0.042120639729452	0.0	0.0	
arriving	0.0	0.0038291490663138186	0.0	0.0	
arron	0.0032219693523215325	0.0	0.0	0.0	
arsenault	0.0	0.0038291490663138186	0.0	0.0	
art	0.0	0.0038291490663138186	0.02828633693723371	0.0	
arthur	0.0016109846761607663	0.0057437235994707275	0.0	0.0	
arti	0.0	0.0	0.007071584234308427	0.0	
article	0.009665908056964597	0.0	0.0	0.012361541681989524	
articles	0.0016109846761607663	0.0	0.01060737635146264	0.0	
artifacts	0.0	0.0038291490663138186	0.0	0.0	
artificial	0.0	0.0	0.007071584234308427	0.0	
artist	0.0	0.0038291490663138186	0.007071584234308427	0.0	
artistic	0.0	0.0	0.007071584234308427	0.0	
artists	0.0016109846761607663	0.0	0.01060737635146264	0.0	
artsgirl	0.006443938704643065	0.0	0.0	0.0	
arugula	0.0032219693523215325	0.0	0.0	0.0	
asap	0.0	0.02297489439788291	0.0	0.0	
ascii	0.0	0.0	0.007071584234308427	0.0	
asg	0.0032219693523215325	0.0	0.0	0.0	
asham	0.0032219693523215325	0.0	0.0	0.0	
ashamed	0.006443938704643065	0.0	0.0	0.0	
ashleyroseftc	0.0032219693523215325	0.0	0.0	0.0	
ashore	0.0	0.011487447198941455	0.0	0.0	
ashqz	0.0	0.0038291490663138186	0.0	0.0	
